RoomType;Room_ID;hasCoordinate;Height;W;D;OpeningArea;WFR;v_out;T_out;Distance;T_10_ID;T_10;T_20_ID;T_20;T_30_ID;T_30;T_40_ID;T_40;T_50_ID;T_50;T_60_ID;T_60;T_70_ID;T_70;T_80_ID;T_80;T_90_ID;T_90;T_100_ID;T_100
Standard;:Standard_075;{1.24, -1.2, -1.3};1;3,5;4;0,75;0,0534;3;5;1,79603;Res_V_T10_120;0,133941;Res_V_T20_120;0,131314;Res_V_T30_120;0,134267;Res_V_T40_120;0,131574;Res_V_T50_120;0,145637;Res_V_T60_120;0,132529;Res_V_T70_120;0,147708;Res_V_T80_120;0,134703;Res_V_T90_120;0,151215;Res_V_T100_120;0,13499
Standard;:Standard_075;{1.24, -0.9, -1.3};1;3,5;4;0,75;0,0534;3;5;1,925026;Res_V_T10_121;0,129804;Res_V_T20_121;0,130136;Res_V_T30_121;0,130103;Res_V_T40_121;0,129163;Res_V_T50_121;0,146672;Res_V_T60_121;0,131204;Res_V_T70_121;0,152769;Res_V_T80_121;0,135125;Res_V_T90_121;0,158525;Res_V_T100_121;0,13527
Standard;:Standard_075;{1.24, -0.6, -1.3};1;3,5;4;0,75;0,0534;3;5;2,089432;Res_V_T10_122;0,125464;Res_V_T20_122;0,127711;Res_V_T30_122;0,125463;Res_V_T40_122;0,125797;Res_V_T50_122;0,1459;Res_V_T60_122;0,12882;Res_V_T70_122;0,156973;Res_V_T80_122;0,134108;Res_V_T90_122;0,165282;Res_V_T100_122;0,133796
Standard;:Standard_075;{1.24, -0.3, -1.3};1;3,5;4;0,75;0,0534;3;5;2,281606;Res_V_T10_123;0,121808;Res_V_T20_123;0,124695;Res_V_T30_123;0,120247;Res_V_T40_123;0,122226;Res_V_T50_123;0,142766;Res_V_T60_123;0,125895;Res_V_T70_123;0,16014;Res_V_T80_123;0,132138;Res_V_T90_123;0,171807;Res_V_T100_123;0,131289
Standard;:Standard_075;{1.24, 0.0, -1.3};1;3,5;4;0,75;0,0534;3;5;2,49514;Res_V_T10_124;0,119905;Res_V_T20_124;0,122353;Res_V_T30_124;0,116332;Res_V_T40_124;0,120098;Res_V_T50_124;0,13828;Res_V_T60_124;0,124098;Res_V_T70_124;0,161009;Res_V_T80_124;0,130561;Res_V_T90_124;0,17618;Res_V_T100_124;0,129083
Standard;:Standard_075;{1.24, 0.3, -1.3};1;3,5;4;0,75;0,0534;3;5;2,725018;Res_V_T10_125;0,118224;Res_V_T20_125;0,119764;Res_V_T30_125;0,112663;Res_V_T40_125;0,118338;Res_V_T50_125;0,132012;Res_V_T60_125;0,122637;Res_V_T70_125;0,159412;Res_V_T80_125;0,128768;Res_V_T90_125;0,179019;Res_V_T100_125;0,126086
Standard;:Standard_075;{1.24, 0.6, -1.3};1;3,5;4;0,75;0,0534;3;5;2,967444;Res_V_T10_126;0,114323;Res_V_T20_126;0,115781;Res_V_T30_126;0,107794;Res_V_T40_126;0,115803;Res_V_T50_126;0,122635;Res_V_T60_126;0,120983;Res_V_T70_126;0,153033;Res_V_T80_126;0,126134;Res_V_T90_126;0,178994;Res_V_T100_126;0,121179
Standard;:Standard_075;{1.24, 0.9, -1.3};1;3,5;4;0,75;0,0534;3;5;3,219585;Res_V_T10_127;0,108043;Res_V_T20_127;0,110002;Res_V_T30_127;0,101913;Res_V_T40_127;0,111319;Res_V_T50_127;0,112167;Res_V_T60_127;0,117638;Res_V_T70_127;0,142384;Res_V_T80_127;0,121628;Res_V_T90_127;0,173869;Res_V_T100_127;0,113864
Standard;:Standard_075;{1.24, 1.2, -1.3};1;3,5;4;0,75;0,0534;3;5;3,479328;Res_V_T10_128;0,098616;Res_V_T20_128;0,100988;Res_V_T30_128;0,09354;Res_V_T40_128;0,10332;Res_V_T50_128;0,098946;Res_V_T60_128;0,110747;Res_V_T70_128;0,125094;Res_V_T80_128;0,113301;Res_V_T90_128;0,160735;Res_V_T100_128;0,10257
Standard;:Standard_075;{1.24, 1.5, -1.3};1;3,5;4;0,75;0,0534;3;5;3,745093;Res_V_T10_129;0,079784;Res_V_T20_129;0,080407;Res_V_T30_129;0,076657;Res_V_T40_129;0,08328;Res_V_T50_129;0,077078;Res_V_T60_129;0,091121;Res_V_T70_129;0,09348;Res_V_T80_129;0,091671;Res_V_T90_129;0,128007;Res_V_T100_129;0,078826
Standard;:Standard_075;{1.24, 1.8, -1.3};1;3,5;4;0,75;0,0534;3;5;4,015685;Res_V_T10_130;0,069371;Res_V_T20_130;0,06948;Res_V_T30_130;0,067903;Res_V_T40_130;0,073829;Res_V_T50_130;0,06406;Res_V_T60_130;0,080977;Res_V_T70_130;0,063361;Res_V_T80_130;0,077764;Res_V_T90_130;0,081644;Res_V_T100_130;0,064044
Standard;:Standard_075;{1.55, -1.8, -1.3};1;3,5;4;0,75;0,0534;3;5;1,915888;Res_V_T10_131;0,146512;Res_V_T20_131;0,130106;Res_V_T30_131;0,149124;Res_V_T40_131;0,131222;Res_V_T50_131;0,155799;Res_V_T60_131;0,132169;Res_V_T70_131;0,15729;Res_V_T80_131;0,133684;Res_V_T90_131;0,164314;Res_V_T100_131;0,135606
