RoomID,RoomType,OriginID,OriginPoint,Height,Width,Depth,WFR,OutdoorVelocity,OutdoorTemperature,DistanceFromWindow,PointID,Point,ResultID_T10,T_10
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.713711,SR_P87,"{0.31, 0.6, -1.3}",Res_T10_87,0.110263
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.987344,SR_P88,"{0.31, 0.9, -1.3}",Res_T10_88,0.099284
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.265612,SR_P89,"{0.31, 1.2, -1.3}",Res_T10_89,0.087133
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.547425,SR_P90,"{0.31, 1.5, -1.3}",Res_T10_90,0.068288
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.832,SR_P91,"{0.31, 1.8, -1.3}",Res_T10_91,0.070659
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.285506,SR_P92,"{0.62, -1.8, -1.3}",Res_T10_92,0.224194
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.331362,SR_P93,"{0.62, -1.5, -1.3}",Res_T10_93,0.224758
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.439627,SR_P94,"{0.62, -1.2, -1.3}",Res_T10_94,0.215754
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.597662,SR_P95,"{0.62, -0.9, -1.3}",Res_T10_95,0.193762
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.792352,SR_P96,"{0.62, -0.6, -1.3}",Res_T10_96,0.172479
