RoomID	RoomType	OriginID	OriginPoint	Height	Width	Depth	WFR	OutdoorVelocity	OutdoorTemperature	DistanceFromWindow	PointID	Point	ResultID_T10	T_10	ResultID_T20	T_20	ResultID_T30	T_30	ResultID_T40	T_40	ResultID_T50	T_50	ResultID_T60	T_60	ResultID_T70	T_70	ResultID_T80	T_80	ResultID_T90	T_90	ResultID_T100	T_100
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	2.905688	SR_P179	"{-0.93, 0.9, -0.3}"	Res_T10_179	0.0562	Res_T20_179	0.059678	Res_T30_179	0.059019	Res_T40_179	0.065043	Res_T50_179	0.045225	Res_T60_179	0.064449	Res_T70_179	0.023031	Res_T80_179	0.053649	Res_T90_179	0.021856	Res_T100_179	0.046014
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	3.191085	SR_P180	"{-0.93, 1.2, -0.3}"	Res_T10_180	0.050129	Res_T20_180	0.05756	Res_T30_180	0.052426	Res_T40_180	0.063048	Res_T50_180	0.039998	Res_T60_180	0.063867	Res_T70_180	0.027942	Res_T80_180	0.055166	Res_T90_180	0.035117	Res_T100_180	0.045695
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	3.47894	SR_P181	"{-0.93, 1.5, -0.3}"	Res_T10_181	0.046444	Res_T20_181	0.052592	Res_T30_181	0.045173	Res_T40_181	0.05548	Res_T50_181	0.033404	Res_T60_181	0.05582	Res_T70_181	0.032685	Res_T80_181	0.049462	Res_T90_181	0.065076	Res_T100_181	0.042908
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	3.76869	SR_P182	"{-0.93, 1.8, -0.3}"	Res_T10_182	0.039244	Res_T20_182	0.032066	Res_T30_182	0.03518	Res_T40_182	0.033418	Res_T50_182	0.025655	Res_T60_182	0.037317	Res_T70_182	0.046553	Res_T80_182	0.032666	Res_T90_182	0.11968	Res_T100_182	0.029317
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	0.634449	SR_P183	"{-0.62, -1.8, -0.3}"	Res_T10_183	0.048712	Res_T20_183	0.03126	Res_T30_183	0.024764	Res_T40_183	0.029705	Res_T50_183	0.025938	Res_T60_183	0.025239	Res_T70_183	0.037055	Res_T80_183	0.025864	Res_T90_183	0.043654	Res_T100_183	0.033009
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	0.722859	SR_P184	"{-0.62, -1.5, -0.3}"	Res_T10_184	0.054712	Res_T20_184	0.039091	Res_T30_184	0.032266	Res_T40_184	0.031812	Res_T50_184	0.026789	Res_T60_184	0.025109	Res_T70_184	0.035028	Res_T80_184	0.030254	Res_T90_184	0.040577	Res_T100_184	0.038875
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	0.906932	SR_P185	"{-0.62, -1.2, -0.3}"	Res_T10_185	0.059869	Res_T20_185	0.043464	Res_T30_185	0.037678	Res_T40_185	0.035368	Res_T50_185	0.025597	Res_T60_185	0.028145	Res_T70_185	0.030884	Res_T80_185	0.03311	Res_T90_185	0.035584	Res_T100_185	0.040927
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.141282	SR_P186	"{-0.62, -0.9, -0.3}"	Res_T10_186	0.066422	Res_T20_186	0.047987	Res_T30_186	0.043619	Res_T40_186	0.040749	Res_T50_186	0.024751	Res_T60_186	0.033196	Res_T70_186	0.025921	Res_T80_186	0.035962	Res_T90_186	0.030233	Res_T100_186	0.04319
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.400901	SR_P187	"{-0.62, -0.6, -0.3}"	Res_T10_187	0.072396	Res_T20_187	0.052168	Res_T30_187	0.050313	Res_T40_187	0.046741	Res_T50_187	0.026025	Res_T60_187	0.038905	Res_T70_187	0.020972	Res_T80_187	0.038419	Res_T90_187	0.02553	Res_T100_187	0.04507
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.674074	SR_P188	"{-0.62, -0.3, -0.3}"	Res_T10_188	0.076013	Res_T20_188	0.055743	Res_T30_188	0.057309	Res_T40_188	0.052523	Res_T50_188	0.029971	Res_T60_188	0.044653	Res_T70_188	0.016435	Res_T80_188	0.040709	Res_T90_188	0.021767	Res_T100_188	0.046273
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.955128	SR_P189	"{-0.62, 0.0, -0.3}"	Res_T10_189	0.076317	Res_T20_189	0.058617	Res_T30_189	0.063595	Res_T40_189	0.057709	Res_T50_189	0.035768	Res_T60_189	0.050273	Res_T70_189	0.013197	Res_T80_189	0.043298	Res_T90_189	0.019038	Res_T100_189	0.047018
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	2.241099	SR_P190	"{-0.62, 0.3, -0.3}"	Res_T10_190	0.073505	Res_T20_190	0.060529	Res_T30_190	0.067748	Res_T40_190	0.062046	Res_T50_190	0.04178	Res_T60_190	0.055765	Res_T70_190	0.013474	Res_T80_190	0.046449	Res_T90_190	0.017768	Res_T100_190	0.047582
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	2.530321	SR_P191	"{-0.62, 0.6, -0.3}"	Res_T10_191	0.066574	Res_T20_191	0.061444	Res_T30_191	0.068035	Res_T40_191	0.065985	Res_T50_191	0.046693	Res_T60_191	0.062987	Res_T70_191	0.020534	Res_T80_191	0.051702	Res_T90_191	0.020721	Res_T100_191	0.04844
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	2.821795	SR_P192	"{-0.62, 0.9, -0.3}"	Res_T10_192	0.060834	Res_T20_192	0.061382	Res_T30_192	0.06452	Res_T40_192	0.066943	Res_T50_192	0.045922	Res_T60_192	0.066978	Res_T70_192	0.028063	Res_T80_192	0.056811	Res_T90_192	0.029545	Res_T100_192	0.050157
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	3.114888	SR_P193	"{-0.62, 1.2, -0.3}"	Res_T10_193	0.056396	Res_T20_193	0.060672	Res_T30_193	0.05962	Res_T40_193	0.06613	Res_T50_193	0.04098	Res_T60_193	0.06709	Res_T70_193	0.035726	Res_T80_193	0.060032	Res_T90_193	0.047537	Res_T100_193	0.052864
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	3.409182	SR_P194	"{-0.62, 1.5, -0.3}"	Res_T10_194	0.053353	Res_T20_194	0.055064	Res_T30_194	0.053093	Res_T40_194	0.057204	Res_T50_194	0.033363	Res_T60_194	0.056288	Res_T70_194	0.044618	Res_T80_194	0.052737	Res_T90_194	0.080013	Res_T100_194	0.050537
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	3.704393	SR_P195	"{-0.62, 1.8, -0.3}"	Res_T10_195	0.043608	Res_T20_195	0.034545	Res_T30_195	0.039296	Res_T40_195	0.035313	Res_T50_195	0.022365	Res_T60_195	0.041635	Res_T70_195	0.063204	Res_T80_195	0.039267	Res_T90_195	0.134369	Res_T100_195	0.033806
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	0.337972	SR_P196	"{-0.31, -1.8, -0.3}"	Res_T10_196	0.049963	Res_T20_196	0.05131	Res_T30_196	0.059478	Res_T40_196	0.049193	Res_T50_196	0.074599	Res_T60_196	0.052117	Res_T70_196	0.086679	Res_T80_196	0.054534	Res_T90_196	0.094547	Res_T100_196	0.052424
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	0.483968	SR_P197	"{-0.31, -1.5, -0.3}"	Res_T10_197	0.061937	Res_T20_197	0.04705	Res_T30_197	0.043386	Res_T40_197	0.041556	Res_T50_197	0.043331	Res_T60_197	0.036061	Res_T70_197	0.052952	Res_T80_197	0.039062	Res_T90_197	0.059571	Res_T100_197	0.045431
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	0.730907	SR_P198	"{-0.31, -1.2, -0.3}"	Res_T10_198	0.065295	Res_T20_198	0.047226	Res_T30_198	0.045124	Res_T40_198	0.041487	Res_T50_198	0.033543	Res_T60_198	0.035286	Res_T70_198	0.039009	Res_T80_198	0.037319	Res_T90_198	0.044775	Res_T100_198	0.043234
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.007087	SR_P199	"{-0.31, -0.9, -0.3}"	Res_T10_199	0.070441	Res_T20_199	0.050581	Res_T30_199	0.049354	Res_T40_199	0.045276	Res_T50_199	0.029654	Res_T60_199	0.038476	Res_T70_199	0.029739	Res_T80_199	0.038691	Res_T90_199	0.035058	Res_T100_199	0.044776
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.293918	SR_P200	"{-0.31, -0.6, -0.3}"	Res_T10_200	0.075611	Res_T20_200	0.054028	Res_T30_200	0.055103	Res_T40_200	0.05	Res_T50_200	0.029779	Res_T60_200	0.042861	Res_T70_200	0.022558	Res_T80_200	0.04026	Res_T90_200	0.02803	Res_T100_200	0.046359
